Speaker label,Gender (M/F),Word,Vowel Phoneme,A class number,Formant 1,Formant 2,Formant 3
bxp001,M,had,AE,3,525,2050,2630
cgm001,M,heed,IY,1,1029,2715,3250
cgm001,M,head,EH,2,461,2223,2872
cgm001,M,had,AE,3,582,2031,2815
cxg001,M,heed,IY,1,452,2366,3133
cxg001,M,head,EH,2,471,2029,2693
cxg001,M,had,AE,3,671,1903,2590
ejd001,M,heed,IY,1,716,2465,3285
ejd001,M,head,EH,2,1018,2414,3283
ejd001,M,had,AE,3,487,1989,2759
mjm001,M,heed,IY,1,522,2702,3448
mjm001,M,head,EH,2,465,2315,2990
mjm001,M,had,AE,3,608,1909,2779
ccm001 ,F,heed,IY,1,276,2552,3133
ccm001 ,F,head,EH,2,544,2129,3101
ccm001 ,F,had,AE,3,616,2213,2766
ccs001,F,heed,IY,1,250,2867,3493
ccs001,F,head,EH,2,342,2494,3318
ccs001,F,had,AE,3,541,2647,3303
dsf001,F,heed,IY,1,286,2664,3330
dsf001,F,head,EH,2,385,2393,3067
dsf001,F,had,AE,3,543,2423,2938
gxi001,F,heed,IY,1,319,2685,3238
gxi001,F,head,EH,2,636,636,3043
gxi001,F,had,AE,3,605,2395,3068
smf001,F,heed,IY,1,270,2726,3249
smf001,F,head,EH,2,459,2228,3181
smf001,F,had,AE,3,601,2584,3286
axm001,F,heed,IY,1,321,2660,3019
axm001,F,head,EH,2,507,2382,2962
axm001,F,had,AE,3,612,2298,2919
cmd001,F,heed,IY,1,468,2365,3077
cmd001,F,head,EH,2,504,2324,3139
cmd001,F,had,AE,3,597,2115,3118
hmm001,F,heed,IY,1,263,2526,2886
hmm001,F,head,EH,2,463,2206,2675
hmm001,F,had,AE,3,605,1941,2563
taq001,F,heed,IY,1,303,2599,3284
taq001,F,head,EH,2,453,2266,2812
taq001,F,had,AE,3,697,2063,2781
tot001,F,heed,IY,1,364,2813,3317
tot001,F,head,EH,2,497,2437,3094
tot001,F,had,AE,3,650,2288,3085
acf001,F,heed,IY,1,350,2735,3200
acf001,F,head,EH,2,472,2455,3075
acf001,F,had,AE,3,759,2177,2990
cxf001,F,heed,IY,1,440,2473,2903
cxf001,F,head,EH,2,549,2121,3065
cxf001,F,had,AE,3,694,1876,3042
mmg01,F,heed,IY,1,321,2680,3251
mmg01,F,head,EH,2,553,2558,3365
mmg01,F,had,AE,3,646,2333,3236
zlt001,F,heed,IY,1,456,2474,2970
zlt001,F,head,EH,2,476,2194,2873
zlt001,F,had,AE,3,653,2054,2917
lrg001,F,heed,IY,1,469,2646,3288
lrg001,F,head,EH,2,470,2433,3075
lrg001,F,had,AE,3,680,2295,3021
cxb002,F,heed,IY,1,402,2590,3172
cxb002,F,head,EH,2,694,2335,3086
cxb002,F,had,AE,3,1007,1929,2567
dab001,F,heed,IY,1,498,2615,3179
dab001,F,head,EH,2,539,2248,2810
dab001,F,had,AE,3,858,1823,2594
jkb001,F,heed,IY,1,374,2606,3260
jkb001,F,head,EH,2,564,2263,2942
jkb001,F,had,AE,3,705,1818,1818
rxt001,F,heed,IY,1,409,2722,3342
rxt001,F,head,EH,2,690,2005,2608
rxt001,F,had,AE,3,945,1805,2603
ald001,F,heed,IY,1,353,2610,3151
ald001,F,head,EH,2,639,2261,2959
ald001,F,had,AE,3,945,1792,2674
lms002,F,heed,IY,1,376,2795,3339
lms002,F,head,EH,2,811,2265,2265
lms002,F,had,AE,3,1080,1772,2875
sar001,F,heed,IY,1,299,2686,2999
sar001,F,head,EH,2,719,2183,3021
sar001,F,had,AE,3,924,1735,2909
slm001,F,heed,IY,1,398,2556,3014
slm001,F,head,EH,2,798,2035,2953
slm001,F,had,AE,3,947,1744,2918
ejr001,F,heed,IY,1,344,2729,3032
ejr001,F,head,EH,2,526,2297,2942
ejr001,F,had,AE,3,967,1753,2781
exc001,F,heed,IY,1,397,2706,3224
exc001,F,head,EH,2,612,2389,3029
exc001,F,had,AE,3,760,2172,2972
